Sector frescura_agua_FOS.txt - Fuente: 2, Nodo más lejano: 6, Distancia: 6338.007540041515
Sector frescura_agua_FOS.txt - Fuente: 3, Nodo más lejano: 9, Distancia: 5941.0379361376445
Sector frescura_agua_FOS.txt - Fuente: 4, Nodo más lejano: 9, Distancia: 6518.8428717026645
Sector frescura_agua_FOS.txt - Fuente: 5, Nodo más lejano: 37, Distancia: 6897.633593199614
Sector frescura_agua_FOS.txt - Fuente: 6, Nodo más lejano: 37, Distancia: 7524.52228866693
Sector frescura_agua_FOS.txt - Fuente: 7, Nodo más lejano: 37, Distancia: 7370.556561189922
Sector frescura_agua_FOS.txt - Fuente: 8, Nodo más lejano: 4, Distancia: 5869.5069938517945
Sector frescura_agua_FOS.txt - Fuente: 9, Nodo más lejano: 4, Distancia: 6518.842871702665
Sector frescura_agua_FOS.txt - Fuente: 10, Nodo más lejano: 6, Distancia: 5176.283448722443
Sector frescura_agua_FOS.txt - Fuente: 11, Nodo más lejano: 9, Distancia: 4619.059949747552
Sector frescura_agua_FOS.txt - Fuente: 12, Nodo más lejano: 9, Distancia: 6153.668412984643
Sector frescura_agua_FOS.txt - Fuente: 13, Nodo más lejano: 37, Distancia: 6419.836295437826
Sector frescura_agua_FOS.txt - Fuente: 14, Nodo más lejano: 37, Distancia: 5657.836389663555
Sector frescura_agua_FOS.txt - Fuente: 15, Nodo más lejano: 37, Distancia: 4663.4244917309
Sector frescura_agua_FOS.txt - Fuente: 16, Nodo más lejano: 4, Distancia: 4364.696464835068
Sector frescura_agua_FOS.txt - Fuente: 17, Nodo más lejano: 6, Distancia: 7340.12505786734
Sector frescura_agua_FOS.txt - Fuente: 18, Nodo más lejano: 6, Distancia: 5746.228824701579
Sector frescura_agua_FOS.txt - Fuente: 19, Nodo más lejano: 9, Distancia: 5486.9743868377145
Sector frescura_agua_FOS.txt - Fuente: 20, Nodo más lejano: 37, Distancia: 5396.2575266031
Sector frescura_agua_FOS.txt - Fuente: 21, Nodo más lejano: 37, Distancia: 6097.8975785907305
Sector frescura_agua_FOS.txt - Fuente: 22, Nodo más lejano: 37, Distancia: 5210.856584688556
Sector frescura_agua_FOS.txt - Fuente: 23, Nodo más lejano: 37, Distancia: 4966.824655519108
Sector frescura_agua_FOS.txt - Fuente: 24, Nodo más lejano: 17, Distancia: 6148.753529097641
Sector frescura_agua_FOS.txt - Fuente: 25, Nodo más lejano: 4, Distancia: 4889.488488465288
Sector frescura_agua_FOS.txt - Fuente: 26, Nodo más lejano: 36, Distancia: 4479.678815653753
Sector frescura_agua_FOS.txt - Fuente: 27, Nodo más lejano: 6, Distancia: 4775.730078297046
Sector frescura_agua_FOS.txt - Fuente: 28, Nodo más lejano: 4, Distancia: 6288.308601059308
Sector frescura_agua_FOS.txt - Fuente: 29, Nodo más lejano: 4, Distancia: 5292.271273947518
Sector frescura_agua_FOS.txt - Fuente: 30, Nodo más lejano: 4, Distancia: 5677.3384583452535
Sector frescura_agua_FOS.txt - Fuente: 31, Nodo más lejano: 6, Distancia: 6407.0514169845355
Sector frescura_agua_FOS.txt - Fuente: 32, Nodo más lejano: 6, Distancia: 5299.390424800387
Sector frescura_agua_FOS.txt - Fuente: 33, Nodo más lejano: 6, Distancia: 6274.0409891566605
Sector frescura_agua_FOS.txt - Fuente: 34, Nodo más lejano: 6, Distancia: 6514.657799251051
Sector frescura_agua_FOS.txt - Fuente: 35, Nodo más lejano: 6, Distancia: 6108.68249755314
Sector frescura_agua_FOS.txt - Fuente: 36, Nodo más lejano: 6, Distancia: 6618.870405942915
Sector frescura_agua_FOS.txt - Fuente: 1, Nodo más lejano: 6, Distancia: 6912.518433613712
Sector frescura_agua_FOS.txt - Fuente: 37, Nodo más lejano: 6, Distancia: 7524.52228866693
