Sector frescura_agua_HAN.txt - Fuente: 2, Nodo más lejano: 31, Distancia: 9122.199831055934
Sector frescura_agua_HAN.txt - Fuente: 3, Nodo más lejano: 31, Distancia: 8118.941857003398
Sector frescura_agua_HAN.txt - Fuente: 4, Nodo más lejano: 31, Distancia: 8967.966741679931
Sector frescura_agua_HAN.txt - Fuente: 5, Nodo más lejano: 31, Distancia: 9966.856741679929
Sector frescura_agua_HAN.txt - Fuente: 6, Nodo más lejano: 31, Distancia: 11197.260112286498
Sector frescura_agua_HAN.txt - Fuente: 7, Nodo más lejano: 30, Distancia: 11086.041145297782
Sector frescura_agua_HAN.txt - Fuente: 8, Nodo más lejano: 30, Distancia: 10379.104590685582
Sector frescura_agua_HAN.txt - Fuente: 9, Nodo más lejano: 29, Distancia: 11204.296397198053
Sector frescura_agua_HAN.txt - Fuente: 10, Nodo más lejano: 29, Distancia: 10417.444590938272
Sector frescura_agua_HAN.txt - Fuente: 11, Nodo más lejano: 29, Distancia: 11115.315801764453
Sector frescura_agua_HAN.txt - Fuente: 12, Nodo más lejano: 29, Distancia: 11954.85580176445
Sector frescura_agua_HAN.txt - Fuente: 13, Nodo más lejano: 29, Distancia: 13638.043377437465
Sector frescura_agua_HAN.txt - Fuente: 14, Nodo más lejano: 29, Distancia: 9629.434590938272
Sector frescura_agua_HAN.txt - Fuente: 15, Nodo más lejano: 29, Distancia: 8774.824590938271
Sector frescura_agua_HAN.txt - Fuente: 16, Nodo más lejano: 29, Distancia: 8120.004590938272
Sector frescura_agua_HAN.txt - Fuente: 17, Nodo más lejano: 29, Distancia: 7404.56608941366
Sector frescura_agua_HAN.txt - Fuente: 18, Nodo más lejano: 30, Distancia: 7604.404590685583
Sector frescura_agua_HAN.txt - Fuente: 19, Nodo más lejano: 30, Distancia: 7964.556089666347
Sector frescura_agua_HAN.txt - Fuente: 20, Nodo más lejano: 13, Distancia: 9503.744871497882
Sector frescura_agua_HAN.txt - Fuente: 21, Nodo más lejano: 13, Distancia: 10791.204871497883
Sector frescura_agua_HAN.txt - Fuente: 22, Nodo más lejano: 13, Distancia: 11190.754871497882
Sector frescura_agua_HAN.txt - Fuente: 23, Nodo más lejano: 13, Distancia: 11108.131696726787
Sector frescura_agua_HAN.txt - Fuente: 24, Nodo más lejano: 13, Distancia: 9612.078748666458
Sector frescura_agua_HAN.txt - Fuente: 25, Nodo más lejano: 6, Distancia: 8667.440112286498
Sector frescura_agua_HAN.txt - Fuente: 26, Nodo más lejano: 6, Distancia: 7570.440112286498
Sector frescura_agua_HAN.txt - Fuente: 27, Nodo más lejano: 29, Distancia: 7032.324590938271
Sector frescura_agua_HAN.txt - Fuente: 28, Nodo más lejano: 13, Distancia: 12240.641701141756
Sector frescura_agua_HAN.txt - Fuente: 29, Nodo más lejano: 13, Distancia: 13638.043377437467
Sector frescura_agua_HAN.txt - Fuente: 30, Nodo más lejano: 13, Distancia: 11857.18337718478
Sector frescura_agua_HAN.txt - Fuente: 31, Nodo más lejano: 6, Distancia: 11197.260112286498
Sector frescura_agua_HAN.txt - Fuente: 32, Nodo más lejano: 6, Distancia: 10111.450112286499
Sector frescura_agua_HAN.txt - Fuente: 1, Nodo más lejano: 31, Distancia: 9531.23011660946
