Sector frescura_agua_NYT.txt - Fuente: 2, Nodo más lejano: 17, Distancia: 2113.565621003997
Sector frescura_agua_NYT.txt - Fuente: 3, Nodo más lejano: 19, Distancia: 2331.4011676019572
Sector frescura_agua_NYT.txt - Fuente: 4, Nodo más lejano: 19, Distancia: 2162.7463963993982
Sector frescura_agua_NYT.txt - Fuente: 5, Nodo más lejano: 19, Distancia: 1955.7077526635005
Sector frescura_agua_NYT.txt - Fuente: 6, Nodo más lejano: 19, Distancia: 1744.1019871465846
Sector frescura_agua_NYT.txt - Fuente: 7, Nodo más lejano: 15, Distancia: 1668.447065771896
Sector frescura_agua_NYT.txt - Fuente: 8, Nodo más lejano: 15, Distancia: 1543.0600291255773
Sector frescura_agua_NYT.txt - Fuente: 9, Nodo más lejano: 1, Distancia: 1679.9710137080478
Sector frescura_agua_NYT.txt - Fuente: 10, Nodo más lejano: 1, Distancia: 1862.185173421282
Sector frescura_agua_NYT.txt - Fuente: 11, Nodo más lejano: 2, Distancia: 1666.0395842775451
Sector frescura_agua_NYT.txt - Fuente: 12, Nodo más lejano: 3, Distancia: 1659.7324961045153
Sector frescura_agua_NYT.txt - Fuente: 13, Nodo más lejano: 4, Distancia: 1694.966085651399
Sector frescura_agua_NYT.txt - Fuente: 14, Nodo más lejano: 17, Distancia: 1731.8100098559796
Sector frescura_agua_NYT.txt - Fuente: 15, Nodo más lejano: 17, Distancia: 2012.9238657933918
Sector frescura_agua_NYT.txt - Fuente: 16, Nodo más lejano: 1, Distancia: 2160.8088242013573
Sector frescura_agua_NYT.txt - Fuente: 17, Nodo más lejano: 1, Distancia: 2335.2559926439435
Sector frescura_agua_NYT.txt - Fuente: 18, Nodo más lejano: 3, Distancia: 2021.7545948775048
Sector frescura_agua_NYT.txt - Fuente: 19, Nodo más lejano: 3, Distancia: 2331.4011676019577
Sector frescura_agua_NYT.txt - Fuente: 20, Nodo más lejano: 2, Distancia: 2052.6272198790994
Sector frescura_agua_NYT.txt - Fuente: 1, Nodo más lejano: 17, Distancia: 2335.2559926439435
