Sector frescura_agua_PES.txt - Fuente: 1, Nodo más lejano: 76, Distancia: 3038.0
Sector frescura_agua_PES.txt - Fuente: 2, Nodo más lejano: 76, Distancia: 3139.0
Sector frescura_agua_PES.txt - Fuente: 3, Nodo más lejano: 76, Distancia: 2912.0
Sector frescura_agua_PES.txt - Fuente: 4, Nodo más lejano: 76, Distancia: 3065.0
Sector frescura_agua_PES.txt - Fuente: 5, Nodo más lejano: 76, Distancia: 2811.0
Sector frescura_agua_PES.txt - Fuente: 6, Nodo más lejano: 57, Distancia: 3160.0
Sector frescura_agua_PES.txt - Fuente: 7, Nodo más lejano: 57, Distancia: 3261.0
Sector frescura_agua_PES.txt - Fuente: 8, Nodo más lejano: 57, Distancia: 3059.0
Sector frescura_agua_PES.txt - Fuente: 9, Nodo más lejano: 57, Distancia: 3214.0
Sector frescura_agua_PES.txt - Fuente: 10, Nodo más lejano: 76, Distancia: 2552.0
Sector frescura_agua_PES.txt - Fuente: 11, Nodo más lejano: 76, Distancia: 2401.0
Sector frescura_agua_PES.txt - Fuente: 12, Nodo más lejano: 57, Distancia: 2807.0
Sector frescura_agua_PES.txt - Fuente: 13, Nodo más lejano: 57, Distancia: 1949.0
Sector frescura_agua_PES.txt - Fuente: 14, Nodo más lejano: 57, Distancia: 2804.0
Sector frescura_agua_PES.txt - Fuente: 17, Nodo más lejano: 57, Distancia: 2150.0
Sector frescura_agua_PES.txt - Fuente: 18, Nodo más lejano: 57, Distancia: 1746.0
Sector frescura_agua_PES.txt - Fuente: 19, Nodo más lejano: 76, Distancia: 1766.0
Sector frescura_agua_PES.txt - Fuente: 20, Nodo más lejano: 76, Distancia: 1665.0
Sector frescura_agua_PES.txt - Fuente: 21, Nodo más lejano: 76, Distancia: 1767.0
Sector frescura_agua_PES.txt - Fuente: 22, Nodo más lejano: 57, Distancia: 1851.0
Sector frescura_agua_PES.txt - Fuente: 23, Nodo más lejano: 57, Distancia: 1849.0
Sector frescura_agua_PES.txt - Fuente: 24, Nodo más lejano: 57, Distancia: 2453.0
Sector frescura_agua_PES.txt - Fuente: 25, Nodo más lejano: 57, Distancia: 2656.0
Sector frescura_agua_PES.txt - Fuente: 26, Nodo más lejano: 57, Distancia: 1974.0
Sector frescura_agua_PES.txt - Fuente: 27, Nodo más lejano: 57, Distancia: 1771.0
Sector frescura_agua_PES.txt - Fuente: 28, Nodo más lejano: 57, Distancia: 3011.0
Sector frescura_agua_PES.txt - Fuente: 29, Nodo más lejano: 57, Distancia: 2858.0
Sector frescura_agua_PES.txt - Fuente: 30, Nodo más lejano: 57, Distancia: 3112.0
Sector frescura_agua_PES.txt - Fuente: 31, Nodo más lejano: 76, Distancia: 2298.0
Sector frescura_agua_PES.txt - Fuente: 32, Nodo más lejano: 76, Distancia: 2401.0
Sector frescura_agua_PES.txt - Fuente: 33, Nodo más lejano: 57, Distancia: 3215.0
Sector frescura_agua_PES.txt - Fuente: 34, Nodo más lejano: 57, Distancia: 3113.0
Sector frescura_agua_PES.txt - Fuente: 35, Nodo más lejano: 57, Distancia: 2757.0
Sector frescura_agua_PES.txt - Fuente: 36, Nodo más lejano: 57, Distancia: 2858.0
Sector frescura_agua_PES.txt - Fuente: 37, Nodo más lejano: 76, Distancia: 2170.0
Sector frescura_agua_PES.txt - Fuente: 38, Nodo más lejano: 76, Distancia: 1967.0
Sector frescura_agua_PES.txt - Fuente: 39, Nodo más lejano: 57, Distancia: 3010.0
Sector frescura_agua_PES.txt - Fuente: 40, Nodo más lejano: 57, Distancia: 3113.0
Sector frescura_agua_PES.txt - Fuente: 41, Nodo más lejano: 57, Distancia: 3214.0
Sector frescura_agua_PES.txt - Fuente: 42, Nodo más lejano: 76, Distancia: 2654.0
Sector frescura_agua_PES.txt - Fuente: 44, Nodo más lejano: 76, Distancia: 3007.0
Sector frescura_agua_PES.txt - Fuente: 45, Nodo más lejano: 76, Distancia: 2605.0
Sector frescura_agua_PES.txt - Fuente: 46, Nodo más lejano: 76, Distancia: 2504.0
Sector frescura_agua_PES.txt - Fuente: 47, Nodo más lejano: 76, Distancia: 2858.0
Sector frescura_agua_PES.txt - Fuente: 48, Nodo más lejano: 76, Distancia: 2605.0
Sector frescura_agua_PES.txt - Fuente: 49, Nodo más lejano: 76, Distancia: 2504.0
Sector frescura_agua_PES.txt - Fuente: 50, Nodo más lejano: 76, Distancia: 2607.0
Sector frescura_agua_PES.txt - Fuente: 51, Nodo más lejano: 76, Distancia: 2710.0
Sector frescura_agua_PES.txt - Fuente: 52, Nodo más lejano: 76, Distancia: 2708.0
Sector frescura_agua_PES.txt - Fuente: 53, Nodo más lejano: 76, Distancia: 2809.0
Sector frescura_agua_PES.txt - Fuente: 54, Nodo más lejano: 76, Distancia: 2912.0
Sector frescura_agua_PES.txt - Fuente: 55, Nodo más lejano: 76, Distancia: 2811.0
Sector frescura_agua_PES.txt - Fuente: 56, Nodo más lejano: 76, Distancia: 3110.0
Sector frescura_agua_PES.txt - Fuente: 57, Nodo más lejano: 76, Distancia: 3310.0
Sector frescura_agua_PES.txt - Fuente: 58, Nodo más lejano: 76, Distancia: 3118.0
Sector frescura_agua_PES.txt - Fuente: 59, Nodo más lejano: 76, Distancia: 3143.0
Sector frescura_agua_PES.txt - Fuente: 60, Nodo más lejano: 76, Distancia: 3017.0
Sector frescura_agua_PES.txt - Fuente: 61, Nodo más lejano: 76, Distancia: 2914.0
Sector frescura_agua_PES.txt - Fuente: 62, Nodo más lejano: 76, Distancia: 3242.0
Sector frescura_agua_PES.txt - Fuente: 76, Nodo más lejano: 57, Distancia: 3310.0
Sector frescura_agua_PES.txt - Fuente: 82, Nodo más lejano: 57, Distancia: 2055.0
Sector frescura_agua_PES.txt - Fuente: 83, Nodo más lejano: 57, Distancia: 2053.0
Sector frescura_agua_PES.txt - Fuente: 84, Nodo más lejano: 76, Distancia: 2912.0
Sector frescura_agua_PES.txt - Fuente: 85, Nodo más lejano: 57, Distancia: 1952.0
Sector frescura_agua_PES.txt - Fuente: 86, Nodo más lejano: 76, Distancia: 2708.0
Sector frescura_agua_PES.txt - Fuente: 87, Nodo más lejano: 76, Distancia: 3208.0
Sector frescura_agua_PES.txt - Fuente: 88, Nodo más lejano: 76, Distancia: 2811.0
Sector frescura_agua_PES.txt - Fuente: 89, Nodo más lejano: 76, Distancia: 2910.0
Sector frescura_agua_PES.txt - Fuente: 43, Nodo más lejano: 76, Distancia: 3055.0
Sector frescura_agua_PES.txt - Fuente: 65, Nodo más lejano: 57, Distancia: 3263.0
Sector frescura_agua_PES.txt - Fuente: 15, Nodo más lejano: 57, Distancia: 3157.0
